Weekday,Hour,Count,Z
Tue,18,121298,1.01210261453349
Tue,19,120054,0.964597130704364
Tue,20,118950,0.922437923190416
Tue,21,110170,0.587150022853044
Tue,22,95208,0.0157858355127519
Tue,23,80876,-0.531520108409255
Tue,00,68734,-0.995195015686746
Tue,02,61267,-1.28034248172538
Tue,03,60267,-1.31853016969091
Tue,04,59226,-1.35828355286303
Tue,09,92535,-0.0862898544191156
Tue,11,95857,0.0405696450023822
Tue,14,131016,1.38321056618253
Tue,15,134673,1.52286294107248
Tue,16,129415,1.32207207774971
Tue,05,59970,-1.32987191301667
Tue,06,67088,-1.05805195007801
Tue,10,92941,-0.0707856531051095
Tue,12,105909,0.424432284431911
Tue,17,124011,1.11570581198397
Tue,13,120889,0.996483850155583
Tue,08,84597,-0.38942372148951
Tue,07,76402,-0.702371824367046
Tue,01,63718,-1.18674445852186
Wed,00,71078,-0.973921324917951
Wed,01,66440,-1.15132276089643
Wed,02,64089,-1.2412474646449
Wed,03,61989,-1.3215715300944
Wed,04,60867,-1.36448753077742
Wed,05,62162,-1.31495435708356
Wed,06,69321,-1.0411257930107
Wed,07,78852,-0.676569284534882
Wed,08,87267,-0.354699279412226
Wed,09,96254,-0.0109505288433245
Wed,12,107949,0.436378016600462
Wed,13,122215,0.982046167887427
Wed,14,135696,1.49768841851827
Wed,15,139090,1.62750740810666
Wed,16,132050,1.35823054107594
Wed,17,124896,1.08459322477796
Wed,18,121503,0.954812484744547
Wed,19,121301,0.947086074639404
Wed,20,117615,0.806098214998037
Wed,21,109002,0.476654797990142
Wed,22,93654,-0.110399371780806
Wed,23,79743,-0.642488931051307
Wed,10,96336,-0.0078140653352962
Wed,11,97598,0.0404568730443582
Thu,00,70310,-0.954077412354746
Thu,01,64452,-1.18530431573376
Thu,02,62766,-1.2518540868326
Thu,03,61229,-1.31252253177858
Thu,05,61326,-1.30869374898108
Thu,06,67513,-1.06448056168064
Thu,07,78111,-0.646156437062894
Thu,12,106377,0.469558764526584
Thu,15,134909,1.59577351481849
Thu,17,122279,1.09724231139122
Thu,18,118783,0.959248242730754
Thu,19,116565,0.871699374227058
Thu,20,114232,0.779611227149005
Thu,21,105216,0.423731786919375
Thu,22,90628,-0.152085568234779
Thu,23,77135,-0.684681096963528
Thu,04,59537,-1.37930913480304
Thu,14,132252,1.49089644375703
Thu,16,129021,1.36336245181138
Thu,08,86991,-0.295645187147286
Thu,13,121325,1.05958603521786
Thu,09,94974,0.0194596898883327
Thu,10,95132,0.0256962639296239
Thu,11,96481,0.0789439752062179
Fri,00,67042,-0.882769828803729
Fri,01,61934,-1.10649028263594
Fri,04,56981,-1.3234220382802
Fri,05,58030,-1.27747788086634
Fri,06,64968,-0.973606990363634
Fri,07,72667,-0.636405781660785
Fri,08,81448,-0.25181507980084
Fri,11,90355,0.138294176715107
Fri,12,98846,0.510183443255683
Fri,13,112932,1.12712281535444
Fri,14,123484,1.58927986876819
Fri,16,119647,1.42122674007708
Fri,17,113367,1.14617496833349
Fri,18,108941,0.95232478652822
Fri,22,78299,-0.389735148148063
Fri,03,58641,-1.25071727059002
Fri,09,89429,0.0977371797987754
Fri,15,125911,1.69557774297547
Fri,19,104365,0.751904896799133
Fri,23,64789,-0.981446841819383
Fri,20,100208,0.569836391203894
Fri,21,90669,0.152046765302287
Fri,02,60251,-1.1802024055411
Fri,10,89535,0.102379773398269
Sat,00,55200,-0.414876858614749
Sat,02,46734,-1.03792809176857
Sat,04,43365,-1.28586804032694
Sat,05,43099,-1.30544418349006
Sat,06,44212,-1.22353347920229
Sat,10,55670,-0.380287432725038
Sat,13,68059,0.531475114823115
Sat,14,73428,0.926604109720688
Sat,15,77979,1.26153278466553
Sat,16,80046,1.41365266405709
Sat,18,79588,1.37994637244541
Sat,19,77149,1.20044933043476
Sat,20,75222,1.05863268428695
Sat,21,71878,0.812532598807811
Sat,22,65982,0.37861929019986
Sat,23,59302,-0.112992124573057
Sat,09,51997,-0.650600116326972
Sat,03,44952,-1.16907353205679
Sat,08,48234,-0.92753630701417
Sat,17,80729,1.46391772338193
Sat,07,46166,-1.0797297809289
Sat,12,63029,0.161294663280036
Sat,01,49215,-0.855340079784794
Sat,11,58861,-0.14544730929085
Sun,01,50224,-0.852816888462051
Sun,02,47034,-1.06134649029101
Sun,13,69716,0.421370885472109
Sun,20,82224,1.23901610794125
Sun,21,78822,1.01662811251112
Sun,23,64344,0.0702044212009052
Sun,00,53166,-0.660498992355223
Sun,12,64619,0.0881811110137461
Sun,18,83930,1.350536954562
Sun,19,83553,1.32589254707312
Sun,09,53314,-0.650824264746858
Sun,14,75698,0.812412916237251
Sun,15,80343,1.11605554962142
Sun,16,83276,1.30778511769801
Sun,17,83723,1.33700540986652
Sun,03,46631,-1.08769051208946
Sun,11,60855,-0.157870745188192
Sun,22,72241,0.586429582844557
Sun,10,57238,-0.394313243562903
Sun,06,44254,-1.24307448185354
Sun,04,45040,-1.19169383387939
Sun,07,45939,-1.13292640063668
Sun,05,43081,-1.31975323512795
Sun,08,49216,-0.918709627848755
Mon,02,56307,-1.24871926137333
Mon,10,87716,-0.0378481552558451
Mon,11,90755,0.0793105346575884
Mon,12,98640,0.38329088015526
Mon,13,112261,0.908403915795562
Mon,15,127100,1.48047295153937
Mon,16,123302,1.33405350294075
Mon,17,118072,1.13242798525491
Mon,18,116134,1.05771474371091
Mon,01,57143,-1.21649001992297
Mon,09,86041,-0.102422293329225
Mon,14,123345,1.33571122708233
Mon,21,104123,0.594669984069494
Mon,22,90539,0.0709833622254391
Mon,08,77638,-0.426372431974365
Mon,20,113862,0.970125226276446
Mon,03,54936,-1.30157367528294
Mon,00,59424,-1.12855353697051
Mon,07,68784,-0.76770939824404
Mon,04,53968,-1.33889174433072
