Weekday,Hour,Count,Z
Tue,15,11170,1.27793945326239
Tue,16,10426,1.06098657409969
Tue,18,7306,0.151184177610967
Tue,6,2915,-1.12924605411403
Tue,10,10690,1.13796985380258
Tue,12,11288,1.31234864646292
Tue,11,11128,1.26569211330965
Tue,14,11339,1.32722041640553
Tue,0,4277,-0.732082315646837
Tue,2,2436,-1.26892405024163
Tue,23,5311,-0.430564470143843
Tue,13,11238,1.29776847985253
Tue,21,6035,-0.219443657625305
Tue,19,6438,-0.101927514745512
Tue,1,3267,-1.02660168117684
Tue,9,9332,0.741972528664222
Tue,7,4703,-0.607859296126261
Tue,20,6250,-0.156748941200602
Tue,17,8533,0.50898146623009
Tue,8,7273,0.141561267648105
Tue,5,2001,-1.39577149975207
Tue,4,1747,-1.46983874613289
Tue,3,1895,-1.42668145296611
Tue,22,5903,-0.257935297476751
Wed,21,6499,-0.115498108106415
Wed,7,4852,-0.602163625346623
Wed,16,10046,0.932590895931845
Wed,20,6441,-0.13263629875604
Wed,12,11329,1.31169949254337
Wed,19,6812,-0.0230109758075781
Wed,15,10984,1.20975680678267
Wed,2,2656,-1.2510509816669
Wed,0,4323,-0.758475743513028
Wed,1,3312,-1.05721213569873
Wed,10,10970,1.20562000214311
Wed,13,11370,1.32381442041638
Wed,9,9692,0.827988835759997
Wed,14,11166,1.26353526709701
Wed,18,7243,0.104343509881875
Wed,23,5338,-0.458557407144594
Wed,17,8473,0.467791346072194
Wed,22,6124,-0.22630537523761
Wed,8,7431,0.159894886470314
Wed,11,11288,1.29958456467036
Wed,6,3093,-1.12192357970335
Wed,3,1970,-1.45375440900556
Wed,5,2152,-1.39997594869123
Wed,4,1793,-1.50605543909149
Thu,21,5943,-0.228566433943049
Thu,18,6863,0.0501823570794598
Thu,14,10923,1.28031289137445
Thu,12,11063,1.32273118566048
Thu,9,9261,0.776747140635956
Thu,7,4746,-0.59124285008864
Thu,15,10712,1.21638246212907
Thu,0,4374,-0.703954317762959
Thu,11,11028,1.31212661208897
Thu,8,7327,0.19076870385603
Thu,3,2000,-1.42324739372756
Thu,10,10842,1.25577087825181
Thu,13,11265,1.3839347245589
Thu,19,6496,-0.0610141715132149
Thu,6,2958,-1.13298506568456
Thu,17,8016,0.399527309306583
Thu,4,1805,-1.48233001791168
Thu,22,5906,-0.239776983147215
Thu,5,2052,-1.40749202727846
Thu,16,9731,0.919151414310499
Thu,20,6313,-0.116460941901388
Thu,2,2589,-1.24478756990989
Thu,1,3292,-1.03178713503074
Thu,23,5232,-0.443990771352836
Fri,8,6934,0.22221625913453
Fri,20,5845,-0.131273950770526
Fri,12,10280,1.30833034760314
Fri,11,10444,1.36156486957231
Fri,13,10415,1.35215144800459
Fri,14,10328,1.32391118330143
Fri,7,4389,-0.603892633618792
Fri,15,9931,1.19504468804679
Fri,17,6958,0.230006676983677
Fri,16,8695,0.793838168815708
Fri,18,5748,-0.16276022291083
Fri,10,10336,1.32650798925115
Fri,19,6321,0.0232360032375606
Fri,6,2765,-1.13104424141109
Fri,9,8879,0.85356470565917
Fri,21,5833,-0.1351691596951
Fri,1,3120,-1.01581097739245
Fri,5,1845,-1.4296769256284
Fri,2,2496,-1.21836184147028
Fri,23,5081,-0.37926891896838
Fri,3,1877,-1.41928970182954
Fri,22,5773,-0.154645204317968
Fri,0,4070,-0.707440270863707
Fri,4,1623,-1.50173829073301
Sun,7,2292,-1.13586546589881
Sun,21,4635,0.400552961851164
Sun,12,5512,0.975644281158347
Sun,20,4972,0.62154016208665
Sun,16,5575,1.01695642838338
Sun,19,4784,0.498259468780207
Sun,13,5604,1.03597313107427
Sun,18,5290,0.830068143317761
Sun,1,2980,-0.684710588266724
Sun,9,4075,0.0333338754064408
Sun,0,3567,-0.299786295868416
Sun,2,2227,-1.17848910986115
Sun,3,1708,-1.51882251319117
Sun,11,5187,0.762526061346678
Sun,14,5778,1.15007334721959
Sun,17,5423,0.917282676348382
Sun,15,5714,1.10810545162591
Sun,10,4823,0.523833655157607
Sun,22,4581,0.365142549943995
Sun,8,3043,-0.643398441041693
Sun,5,1418,-1.70898954010004
Sun,6,1740,-1.49783856539433
Sun,23,4239,0.140876607865253
Sun,4,1413,-1.7122682819433
Mon,10,9939,1.17379086027108
Mon,8,6392,0.0561648804357614
Mon,14,10379,1.31243067733551
Mon,0,3879,-0.735657529298143
Mon,9,8418,0.694538219918805
Mon,21,5557,-0.206935681493331
Mon,13,10432,1.32913047348191
Mon,16,9688,1.09470314644569
Mon,19,5353,-0.271214142132295
Mon,15,10566,1.3713525995879
Mon,12,10355,1.30486850549563
Mon,23,4638,-0.496503844861997
Mon,11,10051,1.20908099552385
Mon,18,6854,0.201736688353415
Mon,17,8118,0.600011071920329
Mon,22,5415,-0.251678531545943
Mon,7,4213,-0.630417304526506
Mon,3,1880,-1.36552342546132
Mon,20,5482,-0.23056746849295
Mon,6,2695,-1.1087246733988
Mon,4,1667,-1.43263770054024
Mon,1,3015,-1.00789571553375
Mon,2,2364,-1.21301962669045
Mon,5,1780,-1.39703247479415
Sat,13,5517,1.03656689744957
Sat,20,4807,0.559894385439297
Sat,23,4181,0.139616931187986
Sat,0,3569,-0.271261346770165
Sat,12,5479,1.01105484751099
Sat,21,4765,0.531696856559816
Sat,16,5416,0.968758554191771
Sat,17,5124,0.772718591505856
Sat,22,4514,0.363183053018156
Sat,3,1652,-1.5582771291979
Sat,15,5544,1.05469388030067
Sat,11,5204,0.826428170323915
Sat,18,4814,0.564593973585877
Sat,14,5679,1.14532879455614
Sat,1,2836,-0.763375362690631
Sat,19,5089,0.749220650772955
Sat,8,3314,-0.442460629252728
Sat,10,4848,0.587420544583552
Sat,9,4016,0.0288409248757391
Sat,5,1396,-1.73014778141569
Sat,6,1734,-1.50322481090939
Sat,2,2075,-1.27428773119742
Sat,7,2382,-1.06817722248312
Sat,4,1398,-1.72880504194524
