Użytkownik1,Użytkownik2,LiczbaWymian
3187,6334,2
3187,70131,2
3187,145699,1
3193,3193,1
3211,3211,1
3213,3213,1
3237,3237,100
3237,13225,1
3238,3238,1
3244,3244,4
3246,3246,64
3247,3247,9
3251,3251,1
3253,3253,2809
3253,183182,2
3253,225225,1
3253,1030280,21
3253,1621250,1
3253,2920390,6
3254,3254,1
3306,3306,64
3306,95388,1
3318,3318,25
3325,3325,100
3325,153548,1
3325,913190,1
3350,3350,1
3354,3354,1
3365,3365,16
3370,3370,4
3379,3379,25
3388,3388,841
3400,3400,841
3422,3422,1
3423,3423,25
3423,4331,3
3424,3424,1
3435,3435,1
3435,164368,2
3435,513593,1
3435,3516058,1
3441,3441,49
3441,12203,1
3441,260566,1
3441,359788,6
3441,446248,1
3452,3452,4
3504,3504,4
3505,3505,4
3543,3543,1
3555,3555,4
3575,3575,1
3579,3579,9
3582,3582,1
3585,3585,4
3607,3607,4
3610,3610,4
3649,3649,4
3657,3657,9
3661,3661,16
3669,3669,9
3669,23033,2
3669,194924,1
3690,3690,1
3698,3698,144
3698,121187,2
3698,130400,2
3703,3703,25
3706,3706,9
3710,3710,1
3746,3746,1
3753,3753,25
3754,3754,1
3774,3774,25
3804,3804,1
3814,3814,1
3826,3826,1
3843,3843,1
3849,3849,49
3849,58859,1
3861,3861,1
3864,3864,1
3864,24731,1
3864,90893,1
3870,3870,25
3918,3918,25
3951,3951,16
4018,4018,1
4022,4022,4
4063,4063,25
4105,4105,1296
4106,4106,1
4156,4156,1
4169,4169,16
4169,12343,4
4169,25331,1
4169,25916,4
4169,30864,2
4170,4170,4
4172,4172,1
4186,4186,1
4200,4200,169
4204,4204,144
4212,4212,36
4224,4224,25
4239,4239,1
4247,4247,36
4247,57506,1
4247,112573,1
4248,4248,25
4269,4269,1
4278,4278,9
4301,4301,9
4331,4331,36
4331,10673,2
4331,76243,3
4331,137956,4
4331,247535,6
4331,308968,1
4331,460751,1
4331,514854,38
4331,999211,1
4345,4345,1
4347,4347,4
4378,4378,9
4379,4379,4
4380,112573,2
4400,4400,1
4415,4415,1
4426,4426,1
4438,4438,4
4458,4458,16
4461,4461,1
4488,4488,4
4505,4505,9
4544,4544,1
4550,4550,121
4551,4551,64
4554,4554,4
4555,4555,1
4579,4579,16
4596,4596,9
4623,4623,484
4623,5093,30
4623,7879,2
4623,9321,1
4623,12946,2
4623,20772,8
4623,22779,2
4623,41067,48
4623,45534,2
4623,49911,1
4623,141090,5
4623,206017,1
4623,222226,4
4623,231647,1
4623,352237,3
4623,505964,3
4623,507449,1
4623,529944,12
4623,3494008,3
4623,4060983,20
4623,6452343,1
4653,4653,1
4659,4659,9
4661,4661,16
4670,4670,1
4683,4683,1
4684,4684,1
4693,4693,4
4719,4719,1
4756,4756,1
4812,4812,1
4871,4871,49
4884,4884,1
4892,4892,4
4895,4895,25
4926,4926,1
4942,4942,1
4957,4957,1
4972,4972,16
5011,5011,144
5013,5013,9
5015,5015,36
5025,5025,16
5047,5047,36
5047,17329,3
5047,25331,1
5047,32334,1
5047,50538,1
5047,293130,1
5049,5049,49
5090,5090,1
5093,5093,196
5093,12946,1
5093,41067,5
5093,47040,8
5093,71268,1
5093,141090,8
5093,275533,1
5093,352237,2
5093,500774,1
5093,524349,4
5093,529944,2
5093,2315452,2
5093,2579322,2
5093,3494008,3
5093,4060983,5
5110,5110,196
5118,5118,1
5121,5121,4
5121,32417,1
5121,71657,2
5121,79630,7
5121,113876,2
5121,130645,1
5121,313641,3
5121,429575,2
5121,440839,1
5127,5127,4
5135,5135,1
5141,5141,64
5142,5142,36
5168,5168,4
5168,500811,1
5178,26450,5
5178,39053,1
5178,187106,2
5237,5237,64
5267,5267,25
5276,5276,36
5279,5279,25
5290,5290,4
5298,5298,81
5313,5313,1
5314,5314,9
5334,5334,9
5341,5341,1
5370,5370,36
5400,5400,4
5404,5404,9
5418,5418,1
5422,5422,1
5428,5428,1
5433,5433,121
5489,5489,169
5489,7936,2
5489,17205,1
5489,57478,6
5489,66296,1
5489,70500,3
5489,87565,4
5489,102159,10
5489,119203,1
5489,141090,6
5489,145699,9
